Sr No.,Original Instruction,Translated Instruction,Baseline Completion,Intervention Completion,Translated Completion (Final Output)
Query 87,'شہری کاری ماحول کو کس طرح متاثر کرتی ہے؟','How does urbanization affect the environment?',"'\n\n[User 0001]\n\nشہری کاری ماحول کو کس طرح متاثر کرتی ہے؟\n\n[User 0002]\n\nشہری کاری ماحول کو
متاثر کرنے والی عوامل میں سے ایک ہے، جو کہ اس کے لیے ایک بہت ا'","'\n\n[User 0001]\n\nI am a student of 12th class and I am doing a project on ""How urbanisation
affects the environment"" . I want to know that how can I do this project and what are the steps to
be taken for this project.\n \n\n[User'",یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر یوزر ؍ یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر
Query 88,'ہوا بازی کی تاریخ کیا ہے؟',"""What's the history of aviation?""","'\n\nہوا بازی کی تاریخ کیا ہے؟\n\nہوا بازی کی تاریخ کیا ہے؟\n\nہوا بازی کی تاریخ کیا ہے؟\n\nہوا بازی
کی تاریخ کیا ہے؟\n\nہوا بازی کی تاریخ کیا ہے؟\n\nہوا بازی کی تاریخ کیا ہے؟\n\nہوا بازی کی تاریخ کیا
ہے؟\n\n'","""\n\n<h2>snowballing's Usage Examples:</h2>\n\nThe <b>snowballing</b> of the debt is a process by
which the debt is increased by the issuance of new debt to repay the old debt.\n\nThe
<b>snowballing</b> of the debt is a process by which the debt is increased by""",نو بلنگ کے استعمال کے مثالیں : موجودہ قرض کو دوبارہ ادا کرنے کے لئے نئے قرض کے ذریعے قرض کو بڑھانا ایک ایسا عمل ہے جس کے نتیجے میں نو بلنگ ہو جاتا ہے ۔
Query 89,'میگنےٹ کیسے کام کرتے ہیں؟','How do magnets work?',"'\n\nمیگنےٹ کیسے کام کرتے ہیں؟\n\nمیگنےٹ کیسے کام کرتے ہیں؟\n\nمیگنےٹ کیسے کام کرتے ہیں؟\n\nمیگنےٹ
کیسے کام کرتے ہیں؟\n\nمیگنےٹ کیسے کام کرتے ہیں'","'\n\n[User 0001]\n\nI have a question about the use of the word ""میگنےٹ"" in the following
sentence:\n\n""I have a question about the use of the word ""میگنےٹ"" in the following sentence:\n\n""I
have a question about the use of'",یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر کے استعمال کے بارے میں مجھے ایک سوال ہے ۔
Query 90,'افراط زر کی بنیادی وجوہات کیا ہیں؟','What are the main causes of inflation?',"'\n\nافراط زر کی بنیادی وجوہات کیا ہیں؟\n\nافراط زر کی بنیادی وجوہات کیا ہیں؟\n\nافراط زر کی بنیادی
وجوہات کیا ہیں؟\n\nافراط زر کی بنیادی وجوہات کیا ہیں؟\n\nافراط زر کی بنیادی وج'","'\n\n<h2>Noun:</h2>\n\nافراط,\n\n<h2>excessive\'s Usage Examples:</h2>\n\nThe <b>excessive</b> use
of the word ""unbelievable"" in the title of the film is a reference to the film\'s plot.\n\nThe
<b>excessive</b> use of the word ""unbelievable'",اس فلم کے عنوان میں غیر قابلِ انکار کے لفظ کا استعمال اس فلم کی کہانی کے لئے ایک اشاریہ ہے ۔
Query 91,'کیا آپ وضاحت کرسکتے ہیں کہ الرجی کس طرح ترقی کرتی ہے؟','Can you explain how allergies develop?',"'\n\nرجی کی ترقی کے بارے میں آپ کو یہ بتانا چاہیے کہ الرجی کی ترقی کے بارے میں آپ کو یہ بتانا چاہیے
کہ الرجی کی ترقی کے بارے میں آپ کو یہ بتانا چاہیے کہ الرجی کی ترقی کے'","'\n\n<strong><em>The answer is that the penis grows in size and length during
puberty.</em></strong>\n\n<strong><em>The penis is a male sex organ that is used for sexual
intercourse.</em></strong>\n\n<strong><em>The penis is made up of three parts: the root, the shaft,
and the glans.</em></strong>\n\n'",جواب یہ ہے کہ سن puberہ کے دوران پیٹ کا سائز اور لمبائی بڑھتا جاتا ہے ۔ پیٹ ایک مرد کا جنسی اعضا ہے جسے جنسی روابط کے لئے استعمال کیا جاتا ہے ۔ پیٹ کے تین حصے ہوتے ہیں : جڑ ، ٹہل اور دھاگہ ۔
Query 92,'تناؤ سے جسمانی صحت پر کیا اثر پڑتا ہے؟','How does stress impact physical health?',"'\n\n[User 0001]\n\n \n\n[User 0002]\n\n \n\n[User 0003]\n\n \n\n[User 0004]\n\n \n\n[User 0005]\n\n
\n\n[User 0006]'","""\n\n<h2>disability's Usage Examples:</h2>\n\nThe <b>disability</b> is a permanent condition that is
not expected to improve with time.\n\nThe <b>disability</b> is a permanent condition that is not
expected to improve with time.\n\nThe <b>disability</b> is a permanent condition that is not""",معذوری کے استعمال کے مثالیں : یہ معذوری ایک مستقل بیماری ہے جس میں وقت کے ساتھ بہتر ہونے کی امید نہیں ہے ۔ معذوری ایک مستقل بیماری ہے جس میں وقت کے ساتھ بہتر ہونے کی امید نہیں ہے ۔
Query 93,'عالمی تعلقات میں سفارت کاری کا کیا کردار ہے؟',"""What's the role of diplomacy in global relations?""","'\n\n[User 0001]\n\nعالمی تعلقات میں سفارت کاری کا کیا کردار ہے؟\n\n[User 0002]\n\n(بِسْمِ اللهِ
الرَّحْمنِ الرَّحِيمِ)\n\n \n\n<strong>عالمی'","'\n\n[User 0001]\n\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n
<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n'",یوزر ؍ یوزر ؍ یوزر نمبر :....
Query 94,'مشین ترجمہ کیسے کام کرتا ہے؟','How does machine translation work?',"'\n\nمشین ترجمہ کیسے کام کرتا ہے؟\n\nمشین ترجمہ کیسے کام کرتا ہے؟\n\nمشین ترجمہ کیسے کام کرتا
ہے؟\n\nمشین ترجمہ کیسے کام کرتا ہے؟\n\nمشین ترجمہ کیس'","'\n\n[User 0001]\n\nI am using a machine translation software called ""Google Translate"" and I want
to know how it works?\n \n\n[User 0002]\n\nIt is a machine translation software. It is not a human
translator.\n \n\n[User 0'",میں ایک مشین ٹرانسمیشن سافٹ ویئر استعمال کررہا ہوں جو کہ گوگل ٹرانسمیشن نام سے جانا جاتا ہے اور مجھے معلوم کرنا چاہتا ہوں کہ یہ کیسے کام کرتا ہے ؟
Query 95,'کیا آپ تنازعات کے حل کے لئے کچھ طریقے تجویز کرسکتے ہیں؟','Can you suggest some methods for conflict resolution?',"'\n\nکیا آپ کو یہ احساس ہے کہ آپ کو کچھ طریقے ہیں جو آپ کو تنازعات کے حل میں مدد کر سکتے ہیں؟\n\nکیا
آپ کو یہ احساس ہے کہ آپ کو کچھ طریقے ہیں جو آپ کو تنازعات کے حل میں مدد کر سکتے'","'\n\nI am a 12th class student and I am very much interested in the field of science and I want to
do my M.Sc in the field of biotechnology but I am not sure about the future of this field so please
tell me that what are the future prospects of this field and what are the jobs'",میں ایک بارہویں کلاس کا طالب علم ہوں اور میں سائنس کے شعبے میں بہت ہی دلچسپی رکھتا ہوں اور میں بائیو ٹکنالوجی کے شعبے میں اپنے ایم ایس سی کرنے کا ارادہ رکھتا ہوں لیکن میں اس شعبے کے مستقبل کے بارے میں یقین نہیں رکھتا ۔ آپ مجھے بتائیں کہ اس شعبے کے مستقبل کے امکانات کیا ہیں اور یہ کہ jobs کیا ہیں ۔
Query 96,'سائنسی دریافت کا عمل کیا ہے؟',"""What's the process of scientific discovery?""","'\n\nسائنسی دریافت کا عمل کیا ہے؟\n\nسائنسی دریافت کا عمل کیا ہے؟\n\nسائنسی دریافت کا عمل کیا
ہے؟\n\nسائنسی دریافت کا عمل کیا ہے؟\n\nسائنسی دریافت کا عمل کیا ہے؟\n\nسائنسی دریافت کا عمل کیا
ہے؟\n\nسائنسی'","""\n\n<h2>Noun:</h2>\n\nسائنسی\n\n<h2>scientific's Usage Examples:</h2>\n\nThe <b>scientific</b> name
of the plant is Abrus precatorius.\n\nThe <b>scientific</b> name of the plant is Abrus
precatorius.\n\nThe <b>scientific</b> name of the plant is A""",سائنسی سائنسی قسم کے استعمال کے مثالیں : پلانٹ کا نام آروئس پرکائوس ہے ، پلانٹ کا نام ایسوسی ایشن ہے
Query 97,'ویکسین کیسے بنائی جاتی ہیں؟','How are vaccines created?',"'\n\nویکسین کیسے بنائی جاتی ہیں؟\n\nویکسین کیسے بنائی جاتی ہیں؟\n\nویکسین کیسے بنائی جاتی
ہیں؟\n\nویکسین کیسے بنائی جاتی ہیں؟\n\nویکسین کیسے بنائی جاتی ہیں'","'\n\nویکسین How many types of vaccines are there?\n\nویکسین How many types of vaccines are
there?\n\nویکسین How many types of vaccines are there?\n\nویکسین How many types of vaccines are
there?\n\nویکسین How many types of vaccines are there?\n\nویکسین'",ویکسین کتنی ہی قسمیں ہیں ؟ ویکسین کتنی ہی قسمیں ہیں ؟ ویکسین کتنی ہی قسمیں ہیں ؟ ویکسین کتنی ہی قسمیں ہیں ؟ ویکسین کتنی ہی قسمیں ہیں ؟
Query 98,'سرد جنگ کے پیچھے کیا تاریخ ہے؟',"""What's the history behind the Cold War?""","'\n\n[User 0001]\n\n<b>سرد جنگ کے پیچھے کیا تاریخ ہے؟</b>\n\n<b>سرد جنگ کے پیچھے کیا تاریخ
ہے؟</b>\n\n<b>سرد جنگ کے پیچھے کیا تاریخ ہے؟</b>\n\n<b>سرد جنگ کے پیچھے کیا تاریخ ہے؟</b>\n\n<b>سرد
جنگ کے پیچھے'","'\n\n[User 0001]\n\n<b>سرد جنگ کے پیچھے کیا تاریخ ہے؟</b>\n\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\
n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n'",یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر کے پیچھے کیا تاریخ ہے ؟
Query 99,'انٹروورٹس کے بارے میں کچھ عام غلط فہمیاں کیا ہیں؟','What are some common misconceptions about introverts?',"' ان میں سے ایک یہ ہے کہ انٹروورٹس کو ایک ایسی بیماری کہا جاتا ہے جس میں انسان کو کچھ اور بیماریوں
کا شکار ہوتا ہے، جس کے باعث وہ انٹروورٹس کا شکار ہوتا ہے، لیکن یہ غلط فہمی'","'\n\n1. <strong>انٹروورٹس</strong> <strong>A</strong> <strong>is</strong> <strong>a</strong>
<strong>disease</strong> <strong>:</strong> <strong>It</strong> <strong>is</strong>
<strong>not</strong> <strong>a</strong> <strong>disease</strong> <strong>but</strong>
<strong>a</strong> <strong>condition</strong>'",۔ انٹروورٹس ۔ اس کے علاوہ اس کے علاوہ اس کے علاوہ اس کے علاوہ ۔
Query 100,'واٹر فلٹریشن کیسے کام کرتا ہے؟','How does water filtration work?',"'\n\nواٹر فلٹریشن کیسے کام کرتا ہے؟\n\nواٹر فلٹریشن کیسے کام کرتا ہے؟\n\nواٹر فلٹریشن کیسے کام کرتا
ہے؟\n\nواٹر فلٹریشن کیسے کام کرتا ہے؟\n\nواٹر فل'","'\n\nWater filtration system is a device that is used to remove impurities from water. It is a very
important device that is used in homes, offices, schools, hospitals, hotels, restaurants, etc. It is
used to remove impurities from water and make it safe for drinking.\n\nWater filtration system is a
device that is'",پانی کی ناپاکی کو ختم کرنے کے لئے پانی filtration نظام ایک ڈیوائس ہے جسے استعمال کیا جاتا ہے ۔ یہ ایک بہت اہم ڈیوائس ہے جسے گھروں ، دفتر ، اسکول ، اسپتال ، ہوٹل ، ریستوران وغیرہ میں استعمال کیا جاتا ہے ۔ پانی سے ناپاکی کو ختم کرنے اور اسے پینے کے لئے محفوظ بنانے کے لئے استعمال کیا جاتا ہے ۔
Query 101,'کیا آپ عادات کی نفسیات کی وضاحت کرسکتے ہیں؟','Can you explain the psychology of habits?',"'\n\nکیا آپ کو ایسی عادات پڑھنے والے لوگوں سے محبت ہوتی ہے؟\n\nکیا آپ کو ایسی عادات پڑھنے والے لوگوں
سے محبت ہوتی ہے؟\n\nکیا آپ کو ایسی عادات پڑھنے وال'","'\n\nYou can understand the psychological habits of people.\n\nYou can understand the psychological
habits of people.\n\nYou can understand the psychological habits of people.\n\nYou can understand
the psychological habits of people.\n\nYou can understand the psychological habits of people.\n\nYou
can understand the psychological habits of people.\n\nYou can understand'",آپ لوگوں کی نفسیاتی عادتوں کو سمجھ سکتے ہیں ۔ آپ لوگوں کی نفسیاتی عادتوں کو سمجھ سکتے ہیں ۔ آپ لوگوں کی نفسیاتی عادتوں کو سمجھ سکتے ہیں ۔ آپ لوگوں کی نفسیاتی عادتوں کو سمجھ سکتے ہیں ۔
Query 102,'قومی پارکوں کی کیا اہمیت ہے؟',"""What's the significance of national parks?""","'\n\nقومی پارکوں کی کیا اہمیت ہے؟\n\nقومی پارکوں کی کیا اہمیت ہے؟\n\nقومی پارکوں کی کیا اہمیت
ہے؟\n\nقومی پارکوں کی کیا اہمیت ہے؟\n\nقومی پارکوں کی کیا اہمیت ہے'","'\n\n[User 0001]\n\n<b>قومی</b> <b>پارک</b> <b>کی</b> <b>kia</b> <b>aehmity</b>
<b>hai</b><b>?</b>\n\n<b>I</b> <b>want</b> <b>to</b> <b>know</b> <b>about</b> <b>the</b>'",یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر یوزر ؍ یوزر ؍ یوزر یوزر ؍ یوزر یوزر ؍ یوزر یوزر ؍ یوزر یوزر ؍ یوزر یوزر ؍ یوزر یوزر ؍ یوزر یوزر ؍ یوزر ؍ یوزر ؍
Query 103,'غذائیت سے علمی نشوونما پر کیا اثر پڑتا ہے؟','How does nutrition impact cognitive development?',"'\n\n[User 0001]\n\n<b>غذائیت سے علمی نشوونما پر کیا اثر پڑتا ہے؟</b>\n\n<b>\n</b>\n<b>\n</b>\n<b>\n
</b>\n<b>\n</b>\n<b>\n</b>\n<b>\n</b>\n<b>\n</b>\n<b>\n</b>\n<b>\n'","'\n\n[User 0001]\n\nI have a question that I have been thinking about for a long time.\n\nI have
heard that in the west, the people who are more intelligent are those who have a good diet.\n\nI
have also heard that in the west, the people who are more intelligent'",ایک سوال ہے ، جس پر میں طویل عرصے سے سوچ رہا ہوں ۔ مجھے سُنایا گیا ہے کہ مغربی ممالک میں زیادہ دانشمند وہ لوگ ہیں جو اچھی خوراک رکھتے ہیں ۔ مجھے سُنایا گیا ہے کہ مغربی ممالک میں زیادہ دانشمند وہ لوگ ہیں جو اچھی خوراک رکھتے ہیں ۔
Query 104,'پائلٹ بننے کے لئے کیا اقدامات ہیں؟','What are the steps to become a pilot?',"'\n\nپائلٹ بننے کے لئے کیا اقدامات ہیں؟\n\nپائلٹ بننے کے لئے کیا اقدامات ہیں؟\n\nپائلٹ بننے کے لئے
کیا اقدامات ہیں؟\n\nپائلٹ بننے کے لئے کیا اقدامات ہیں؟\n\nپائلٹ بننے کے لئے کیا اقدامات ہیں'","'\n\n[User 0001]\n\nI am 16 years old and I am 5 feet 4 inches tall. I am very conscious of my
height and I want to grow taller. I have been taking multivitamin tablets for the last 2 months but
I am not getting any results. I'",۔ میں عمر سال کی ہوں اور میں پانچ فٹ چار ٹکڑے سے اونچا ہوں ۔ مجھے اپنے وزن کا بہت زیادہ خیال ہے اور میں اونچا بڑھنا چاہتی ہوں ۔ میں گزشتہ دو مہینوں سے ملٹی لائف ٹیبلٹس لے رہا ہوں لیکن مجھے کچھ نتائج نہیں مل رہے ہیں ۔
