Sr No.,Original Instruction,Translated Instruction,Baseline Completion,Intervention Completion,Translated Completion (Final Output)
Query 84,'بین الاقوامی تجارت کا کیا کردار ہے؟',"""What's the role of international trade?""","' بین الاقوامی تجارت کا کیا کردار ہے؟\nبین الاقوامی تجارت کا کیا کردار ہے؟ بین الاقوامی تجارت کا کیا
کردار ہے؟\nبین الاقوامی تجارت'","' What is the role of international trade in the world economy?\nThe role of international trade in
the world economy is to increase the production of goods and services. It also helps to increase the
income of the people. It also helps to increase the standard of living of the people. It also helps
to increase the employment opportunities.'",دنیا کی معیشت میں بین الاقوامی تجارت کا کردار کیا ہے ؟ دنیا کی معیشت میں بین الاقوامی تجارت کا کردار سامان اور خدمات کی پیداوار میں اضافہ کرنا ہے ۔ اس سے لوگوں کی آمدنی میں اضافہ کرنے میں بھی مدد ہوتی ہے ۔
Query 85,'کینسر کے علاج کی عام اقسام کیا ہیں؟','What are common types of cancer treatments?',"' کینسر کے علاج کی عام اقسام کیا ہیں؟\nکینسر کے علاج کی عام اقسام کیا ہیں؟\nکینسر کے علاج کی عام
اقسام کیا ہی�'","' What are the common types of cancer treatment?\nCancer is a disease in which cells in the body
grow out of control. When cancer starts in different parts of the body, it is called different types
of cancer. Cancer can start almost anywhere in the body, but most often it starts in the skin,
colon, lung'",کینسر کے علاج کے عام قسمیں کیا ہیں ؟ کینسر ایک ایسی بیماری ہے جس میں بدن کے клетки کنٹرول سے باہر نکل جاتے ہیں ۔ جب کینسر بدن کے مختلف حصوں میں شروع ہوتی ہے تو اسے مختلف قسم کے کینسر کہا جاتا ہے ۔ کینسر جسم کے کسی بھی حصہ میں شروع ہو سکتا ہے لیکن اکثر اوقات یہ جلد ، کیسہ ، سینی سے شروع ہوتا ہے ۔
Query 86,'کیا آپ خلیوں میں مائٹوکونڈریا کے کردار کی وضاحت کرسکتے ہیں؟','Can you explain the role of mitochondria in cells?',"'\n\nMitocondria کے کردار کی وضاحت کرسکتے ہیں؟\n\nMitocondria کے کردار کی وضاحت کرسکتے
ہیں؟\n\nMitocondria کے کردار کی و'","' What is the role of mitochondria in cells?\nThe mitochondria are the powerhouses of the cell. They
are responsible for the production of energy in the form of ATP. ATP is the energy currency of the
cell. The mitochondria are also involved in the regulation of cell death and survival. They play a
crucial role'",سیکلوں میں میٹالکوڈیا کا کردار کیا ہے ؟ میٹالکوڈیا سیکل کے پاور ہاؤس ہیں ، وہ ATP کی شکل میں توانائی کی پیداوار کے لئے ذمہ دار ہیں ، ATP cell کی توانائی کا روپ ہے ۔ میٹالکوڈیا سیکل کی موت اور بقا کی ضابطہ بندی میں بھی شامل ہیں ، یہ ایک اہم کردار ادا کرتے ہیں ۔
Query 87,'شہری کاری ماحول کو کس طرح متاثر کرتی ہے؟','How does urbanization affect the environment?',' - ہر شہری کے لیے ایک اہم مسئلہ ہے کہ وہ اپنے ماحول کو کس طرح متاثر کرتا ہے۔\nشہ',"' (Urbanization and Environmental Impact)\nUrbanization is a process of increasing population
density in urban areas. It is a process of increasing population density in urban areas. It is a
process of increasing population density in urban areas. It is a process of increasing population
density in urban areas. It is a process of increasing population density'",( شہری ترقیات اور ماحولیات کے اثرات ) شہری ترقیات شہری علاقوں میں آبادی کی تقسیم میں اضافے کا ایک عمل ہے ، شہری علاقوں میں آبادی کی تقسیم میں اضافے کا ایک عمل ہے ، شہری علاقوں میں آبادی کی تقسیم میں اضافے کا ایک عمل ہے
Query 88,'ہوا بازی کی تاریخ کیا ہے؟',"""What's the history of aviation?""","' کیا ہوا بازی ایک جدید کھیل ہے یا اس کا آغاز کب ہوا؟ ہوا بازی کے کئی قسم کیں اور ان میں سے کس کا
آغاز کب ہ'","' ہوا بازی की कहानी क्या है?\nThe history of air sports is very old. The first air sports were
played in the 19th century. The first air sports were played in the 19th century. The first air
sports were played in the 19th century. The'",ہوا بازی کا कहानी کیا ہے ؟ ائیر اسپورٹس کی تاریخ بہت پرانی ہے ۔ پہلی بار ائیر اسپورٹس کی شروعات سولیسویں صدی میں ہوئی تھی ۔ پہلی بار ائیر اسپورٹس کی شروعات سولیسویں صدی میں ہوئی تھی ۔
Query 89,'میگنےٹ کیسے کام کرتے ہیں؟','How do magnets work?',"' میگنٹ کے بارے میں معلومات\nمیگنٹ کے بارے میں معلومات\nمیگنٹ کے بارے میں معلومات\nمیگنٹ کے بارے میں
معلومات\nمیگنٹ'","' What is Magnets?\nMagnets are a type of magnetism that is used to attract or repel other magnets.
Magnets are made up of tiny particles called atoms. These atoms are arranged in a specific way to
create a magnetic field. The magnetic field is what causes the attraction or repulsion between
magnets.\nThere'",Magnetا کیا ہے ؟ Magnetا ایک نوعیت کی magnetism ہے جسے دوسرے ماڈیولوں کو راغب کرنے یا دفع کرنے کے لئے استعمال کیا جاتا ہے ۔ Magnetا ایٹموں کی شکل میں ہوتے ہیں جو ایک مخصوص طریقے سے ایک مقناطیسی فیلڈ تشکیل دیتے ہیں ۔ مقناطیسی فیلڈ وہ چیز ہے جو ماڈیولوں کے درمیانجذب یا حسرت پیدا کر دیتی ہے ۔
Query 90,'افراط زر کی بنیادی وجوہات کیا ہیں؟','What are the main causes of inflation?',"' (Urdu)\nThe main causes of excessive use of money are:\n1. The desire to have more than what is
needed.\n2. The desire to have more than what is needed.\n3. The desire to have more than what is
needed.\n4. The desire to have more than what is needed.\n5.'","' What are the basic causes of excessive use of gold?\nThe excessive use of gold is a major problem
in the world today. The excessive use of gold is a major problem in the world today. The excessive
use of gold is a major problem in the world today. The excessive use of gold is a major problem in
the'",سونے کے افراط زر کے بنیادی اسباب کیا ہیں ؟ سونے کا افراط زر آج دنیا میں ایک بڑا مسئلہ ہے ۔ سونے کا افراط زر آج دنیا میں ایک بڑا مسئلہ ہے ۔ سونے کا افراط زر دنیا میں ایک بڑا مسئلہ ہے ۔
Query 91,'کیا آپ وضاحت کرسکتے ہیں کہ الرجی کس طرح ترقی کرتی ہے؟','Can you explain how allergies develop?',"' کیا آپ اس کے لیے کوئی تجربہ یا طریقہ بتاسکتے ہیں؟ کیا آپ اس کے لیے کوئی تجربہ یا طریقہ بتاسکتے
ہی�'","' I have a question about the relationship between the two. I have a question about the relationship
between the two. I have a question about the relationship between the two. I have a question about
the relationship between the two. I have a question about the relationship between the two. I have a
question about the relationship between the'",دونوں کے تعلقات کے بارے میں مجھے ایک سوال ہے ، دونوں کے تعلقات کے بارے میں مجھے ایک سوال ہے ، دونوں کے تعلقات کے بارے میں مجھے ایک سوال ہے ، دونوں کے تعلقات کے بارے میں مجھے ایک سوال ہے ، دونوں کے تعلقات کے بارے میں مجھے ایک سوال ہے
Query 92,'تناؤ سے جسمانی صحت پر کیا اثر پڑتا ہے؟','How does stress impact physical health?',"' (Stress and Physical Health)\nStress is a normal part of life. It is a feeling of being under too
much pressure or strain. It is a feeling of being under too much pressure or strain. It is a feeling
of being under too much pressure or strain. It is a feeling of being under too much'","' (What is the effect of stress on physical health?)\nStress is a normal part of life. It is a
reaction to a situation that requires a response. Stress is a normal part of life. It is a reaction
to a situation that requires a response. It is a normal part of life. It is a reaction'",( جسمانی صحت پر دباؤ کا کیا اثر ہے ؟ ) stress زندگی کا عام حصہ ہے ۔ یہ ایک ایسی صورتحال کا رد عمل ہے جس کے لئے ردعمل ضروری ہے ۔ stress زندگی کا عام حصہ ہے ۔ یہ ایک ایسی صورتحال کا رد عمل ہے جس کے لئے ردعمل ضروری ہے ۔ stress زندگی کا عام حصہ ہے ۔
Query 93,'عالمی تعلقات میں سفارت کاری کا کیا کردار ہے؟',"""What's the role of diplomacy in global relations?""","' (پہلا حصہ)\nعالمی تعلقات میں سفارت کاری کا کیا کردار ہے؟ (پہلا حصہ)\nعالمی تعلقات میں سفارت کاری
کا کیا کردار ہے؟'","' What is the role of diplomacy in international relations?\nThe role of diplomacy in international
relations is to maintain peace and harmony among nations. Diplomacy is the art of negotiation and
communication between countries. It is a way to resolve conflicts and differences without resorting
to violence. Diplomacy is also a way to promote trade'",بین الاقوامی تعلقات میں سفارتکاری کا کردار کیا ہے ؟ بین الاقوامی تعلقات میں سفارتکاری کا کردار ممالک کے درمیان امن اور ہم آہنگی برقرار رکھنا ہے ۔ سفارتکاری ، ممالک کے درمیان بات چیت اور مواصلات کا آرٹ ہے جس میں تشدد کے بغیر تنازعات اور اختلافات کا حل نکالا جا سکتا ہے ۔ سفارتکاری تجارت کو فروغ دینے کا بھی طریقہ ہے ۔
